listener,artist,genre,region,minutes,day,month,year,date,premium
Hana,Marisol,Classical,UK,66,8,7,2023,2023-07-08,True
Hana,Marisol,Classical,EU,71,7,3,2022,2022-03-07,False
Hana,The Larks,Jazz,US,176,21,5,2023,2023-05-21,False
Cy,K.Low,HipHop,EU,26,23,8,2023,2023-08-23,True
Gus,Riftwave,Rock,UK,75,16,8,2021,2021-08-16,False
Hana,K.Low,HipHop,US,113,25,10,2023,2023-10-25,True
Hana,Nova,Pop,UK,130,24,11,2022,2022-11-24,True
Ada,Riftwave,Rock,UK,212,12,3,2023,2023-03-12,False
Fay,Nova,Pop,US,222,9,4,2023,2023-04-09,False
Hana,Echo Park,HipHop,UK,72,4,7,2021,2021-07-04,False
Gus,Echo Park,HipHop,US,130,28,3,2023,2023-03-28,True
Ben,Sol Fina,Pop,US,6,22,8,2021,2021-08-22,True
Gus,Marisol,Classical,UK,149,25,10,2021,2021-10-25,True
Ada,Echo Park,HipHop,UK,37,8,5,2021,2021-05-08,True
Dee,Riftwave,Rock,EU,18,18,7,2021,2021-07-18,True
Fay,Grův,Pop,US,162,8,12,2023,2023-12-08,False
Dee,Vantablack,Rock,JP,43,26,12,2021,2021-12-26,False
Fay,Grův,Pop,EU,115,28,2,2022,2022-02-28,False
Ben,Riftwave,Rock,JP,25,10,6,2022,2022-06-10,True
Eli,Marisol,Classical,EU,179,20,2,2023,2023-02-20,True
Fay,Sol Fina,Pop,US,184,21,9,2022,2022-09-21,False
Fay,Marisol,Classical,UK,138,11,8,2022,2022-08-11,True
Cy,Marisol,Classical,US,201,6,7,2023,2023-07-06,False
Cy,Riftwave,Rock,EU,105,28,6,2022,2022-06-28,True
Cy,K.Low,HipHop,UK,45,23,4,2023,2023-04-23,False
Dee,Blue Ember,Jazz,US,37,25,9,2023,2023-09-25,False
Eli,K.Low,HipHop,JP,53,11,1,2023,2023-01-11,False
Cy,Sol Fina,Pop,US,49,8,2,2021,2021-02-08,False
Dee,Sol Fina,Pop,UK,78,16,10,2021,2021-10-16,False
Cy,Sol Fina,Pop,EU,52,8,11,2022,2022-11-08,True
Ben,K.Low,HipHop,US,142,9,6,2022,2022-06-09,False
Fay,Grův,Pop,UK,36,8,11,2021,2021-11-08,False
Gus,Nova,Pop,EU,150,3,1,2022,2022-01-03,False
Cy,K.Low,HipHop,US,81,27,3,2021,2021-03-27,False
Gus,Riftwave,Rock,UK,165,15,9,2021,2021-09-15,True
Eli,K.Low,HipHop,US,124,8,5,2023,2023-05-08,False
Ben,Grův,Pop,EU,218,12,1,2021,2021-01-12,False
Cy,K.Low,HipHop,US,106,6,7,2023,2023-07-06,True
Ada,Grův,Pop,JP,71,7,1,2022,2022-01-07,True
Ada,Marisol,Classical,EU,142,4,6,2023,2023-06-04,True
Cy,Sol Fina,Pop,US,159,8,10,2021,2021-10-08,False
Dee,Marisol,Classical,US,106,27,6,2023,2023-06-27,True
Gus,Blue Ember,Jazz,UK,135,19,9,2022,2022-09-19,True
Ben,Echo Park,HipHop,EU,114,22,7,2023,2023-07-22,True
Gus,Grův,Pop,UK,74,10,3,2021,2021-03-10,False
Ben,Blue Ember,Jazz,US,76,24,5,2023,2023-05-24,True
Ben,Echo Park,HipHop,US,218,24,10,2021,2021-10-24,True
Fay,Blue Ember,Jazz,JP,163,28,1,2022,2022-01-28,False
Gus,Echo Park,HipHop,UK,23,19,2,2021,2021-02-19,True
Eli,Echo Park,HipHop,EU,231,11,11,2023,2023-11-11,False
Ada,Marisol,Classical,UK,171,4,12,2022,2022-12-04,False
Ada,Echo Park,HipHop,JP,13,11,12,2023,2023-12-11,True
Dee,Blue Ember,Jazz,US,175,15,9,2022,2022-09-15,False
Dee,Nova,Pop,US,142,23,6,2021,2021-06-23,True
Hana,Nova,Pop,JP,220,5,1,2022,2022-01-05,True
Cy,Marisol,Classical,JP,118,27,4,2022,2022-04-27,True
Ben,Grův,Pop,US,125,11,6,2021,2021-06-11,True
Hana,Riftwave,Rock,US,76,17,10,2023,2023-10-17,True
Ben,Marisol,Classical,UK,78,15,11,2023,2023-11-15,False
Ada,Echo Park,HipHop,UK,149,10,9,2022,2022-09-10,True
Dee,Blue Ember,Jazz,US,199,2,10,2022,2022-10-02,True
Dee,Echo Park,HipHop,EU,214,10,2,2023,2023-02-10,False
Eli,K.Low,HipHop,US,185,14,1,2023,2023-01-14,False
Hana,The Larks,Jazz,EU,147,10,3,2021,2021-03-10,True
Hana,Vantablack,Rock,US,121,5,8,2022,2022-08-05,True
Cy,Vantablack,Rock,US,82,1,5,2023,2023-05-01,True
Hana,Riftwave,Rock,EU,185,3,6,2023,2023-06-03,True
Fay,Marisol,Classical,US,77,15,10,2022,2022-10-15,False
Ada,The Larks,Jazz,EU,65,9,9,2023,2023-09-09,False
Hana,Nova,Pop,US,209,4,10,2022,2022-10-04,True
Ben,Echo Park,HipHop,JP,142,24,2,2022,2022-02-24,True
Eli,Marisol,Classical,EU,86,30,4,2022,2022-04-30,False
Gus,Echo Park,HipHop,EU,208,26,1,2023,2023-01-26,False
Ben,Sol Fina,Pop,US,232,29,8,2023,2023-08-29,True
Cy,Marisol,Classical,US,77,9,9,2021,2021-09-09,True
Dee,K.Low,HipHop,US,126,18,11,2021,2021-11-18,False
Hana,Sol Fina,Pop,UK,117,15,12,2022,2022-12-15,False
Ben,Riftwave,Rock,US,169,17,4,2023,2023-04-17,True
Fay,Vantablack,Rock,US,229,14,3,2022,2022-03-14,True
Dee,Nova,Pop,US,132,6,12,2022,2022-12-06,True
Ada,Sol Fina,Pop,US,192,8,1,2021,2021-01-08,True
Fay,Sol Fina,Pop,US,143,16,11,2021,2021-11-16,False
Gus,Nova,Pop,US,213,13,11,2023,2023-11-13,False
Eli,Echo Park,HipHop,US,98,24,9,2022,2022-09-24,False
Ben,Marisol,Classical,UK,93,9,8,2023,2023-08-09,True
Ben,Echo Park,HipHop,US,102,27,8,2021,2021-08-27,True
Dee,Nova,Pop,US,240,15,11,2021,2021-11-15,False
Eli,Riftwave,Rock,UK,147,4,12,2023,2023-12-04,False
Eli,Marisol,Classical,EU,37,29,12,2023,2023-12-29,True
Ben,Riftwave,Rock,US,10,19,8,2023,2023-08-19,True
Eli,K.Low,HipHop,UK,125,14,12,2021,2021-12-14,False
Cy,Sol Fina,Pop,JP,194,28,5,2023,2023-05-28,False
Fay,Riftwave,Rock,UK,116,18,5,2022,2022-05-18,False
Gus,Sol Fina,Pop,JP,135,14,7,2023,2023-07-14,False
Fay,Riftwave,Rock,EU,192,22,7,2023,2023-07-22,False
Ada,Riftwave,Rock,US,124,22,4,2022,2022-04-22,False
Hana,Vantablack,Rock,UK,219,30,11,2021,2021-11-30,True
Ada,Echo Park,HipHop,EU,154,4,12,2023,2023-12-04,False
Hana,Riftwave,Rock,JP,176,9,5,2022,2022-05-09,False
Ada,Blue Ember,Jazz,UK,188,18,4,2022,2022-04-18,True
Eli,Grův,Pop,US,151,30,12,2022,2022-12-30,False
Ada,Grův,Pop,UK,13,23,10,2023,2023-10-23,True
Ada,Vantablack,Rock,US,103,23,5,2021,2021-05-23,True
Fay,Marisol,Classical,EU,34,14,12,2023,2023-12-14,True
Fay,K.Low,HipHop,UK,123,8,4,2022,2022-04-08,False
Ada,Sol Fina,Pop,EU,35,29,1,2021,2021-01-29,False
Hana,Vantablack,Rock,EU,123,5,12,2021,2021-12-05,False
Cy,Blue Ember,Jazz,UK,83,22,5,2022,2022-05-22,False
Cy,Nova,Pop,UK,5,12,1,2023,2023-01-12,False
Cy,Riftwave,Rock,EU,30,13,9,2022,2022-09-13,False
Dee,Grův,Pop,EU,121,29,5,2021,2021-05-29,False
Ben,Marisol,Classical,EU,19,19,6,2022,2022-06-19,True
Dee,Marisol,Classical,US,206,12,9,2021,2021-09-12,False
Ben,Marisol,Classical,UK,183,23,10,2021,2021-10-23,False
Ada,Echo Park,HipHop,US,171,18,2,2023,2023-02-18,False
Cy,Nova,Pop,EU,42,30,5,2023,2023-05-30,True
Fay,Nova,Pop,UK,191,21,6,2021,2021-06-21,False
Gus,Blue Ember,Jazz,UK,153,22,10,2022,2022-10-22,False
Cy,Marisol,Classical,US,94,8,4,2022,2022-04-08,True
Cy,Sol Fina,Pop,US,1,4,1,2022,2022-01-04,False
Gus,Marisol,Classical,EU,127,20,2,2023,2023-02-20,True
Fay,Marisol,Classical,US,192,30,9,2021,2021-09-30,True
Gus,Grův,Pop,US,9,19,4,2023,2023-04-19,True
Hana,Riftwave,Rock,EU,13,15,3,2022,2022-03-15,False
Gus,Vantablack,Rock,EU,92,14,4,2021,2021-04-14,False
Hana,Vantablack,Rock,US,123,18,5,2023,2023-05-18,True
Dee,Marisol,Classical,US,114,22,7,2023,2023-07-22,False
Dee,The Larks,Jazz,JP,103,9,9,2022,2022-09-09,True
Cy,Blue Ember,Jazz,EU,62,4,3,2023,2023-03-04,False
Ben,Grův,Pop,UK,15,11,6,2021,2021-06-11,False
Fay,K.Low,HipHop,US,8,7,1,2022,2022-01-07,False
Fay,Vantablack,Rock,US,24,19,1,2022,2022-01-19,False
Gus,Vantablack,Rock,US,166,17,4,2023,2023-04-17,False
Ben,The Larks,Jazz,EU,189,21,1,2022,2022-01-21,False
Dee,Marisol,Classical,US,105,9,3,2023,2023-03-09,True
Ben,Blue Ember,Jazz,US,19,2,12,2021,2021-12-02,True
Hana,Nova,Pop,EU,100,20,10,2022,2022-10-20,True
Cy,K.Low,HipHop,JP,237,18,8,2021,2021-08-18,False
Ben,The Larks,Jazz,EU,60,4,9,2022,2022-09-04,False
Eli,Nova,Pop,UK,118,30,3,2021,2021-03-30,False
Hana,The Larks,Jazz,UK,130,16,3,2023,2023-03-16,True
Hana,Vantablack,Rock,UK,80,1,2,2021,2021-02-01,True
Ada,Riftwave,Rock,US,106,31,12,2023,2023-12-31,False
Cy,K.Low,HipHop,UK,114,8,7,2023,2023-07-08,False
Ben,Vantablack,Rock,UK,114,26,9,2022,2022-09-26,True
Cy,K.Low,HipHop,UK,173,23,9,2023,2023-09-23,True
Eli,Riftwave,Rock,EU,140,5,6,2023,2023-06-05,True
Cy,Sol Fina,Pop,JP,13,6,6,2021,2021-06-06,False
Ada,Sol Fina,Pop,US,2,26,3,2023,2023-03-26,True
Eli,Riftwave,Rock,US,99,18,2,2022,2022-02-18,True
Ada,Blue Ember,Jazz,US,218,27,7,2023,2023-07-27,False
Ben,Blue Ember,Jazz,US,9,4,8,2023,2023-08-04,True
Ada,Sol Fina,Pop,US,18,12,11,2023,2023-11-12,True
Ada,Echo Park,HipHop,US,164,9,5,2022,2022-05-09,True
Dee,Echo Park,HipHop,EU,109,31,7,2021,2021-07-31,False
Gus,Grův,Pop,UK,56,17,5,2021,2021-05-17,True
Gus,Echo Park,HipHop,JP,50,1,7,2021,2021-07-01,True
Ada,K.Low,HipHop,US,160,23,12,2023,2023-12-23,True
Ada,Riftwave,Rock,US,126,5,10,2022,2022-10-05,False
Cy,Sol Fina,Pop,UK,154,21,1,2022,2022-01-21,False
Fay,Grův,Pop,US,68,7,5,2022,2022-05-07,True
Fay,Grův,Pop,US,127,9,7,2021,2021-07-09,True
Gus,Blue Ember,Jazz,JP,207,17,9,2022,2022-09-17,True
Cy,Blue Ember,Jazz,US,76,12,4,2022,2022-04-12,False
Ben,Nova,Pop,US,96,24,5,2023,2023-05-24,False
Ada,Riftwave,Rock,UK,40,24,1,2021,2021-01-24,False
Ben,Vantablack,Rock,UK,154,18,10,2023,2023-10-18,True
Ada,Vantablack,Rock,UK,8,8,3,2021,2021-03-08,False
Gus,K.Low,HipHop,US,60,3,4,2022,2022-04-03,False
Cy,K.Low,HipHop,EU,172,8,1,2022,2022-01-08,True
Gus,The Larks,Jazz,US,5,26,2,2023,2023-02-26,True
Eli,Marisol,Classical,UK,238,22,12,2022,2022-12-22,True
Eli,The Larks,Jazz,EU,97,4,8,2021,2021-08-04,False
Dee,Grův,Pop,EU,96,22,6,2022,2022-06-22,False
Gus,K.Low,HipHop,US,129,9,8,2022,2022-08-09,False
Ada,Blue Ember,Jazz,UK,154,23,5,2022,2022-05-23,False
Ada,Grův,Pop,US,111,24,1,2021,2021-01-24,True
Dee,Sol Fina,Pop,US,213,15,7,2021,2021-07-15,True
Dee,Blue Ember,Jazz,US,231,6,7,2022,2022-07-06,True
Eli,Sol Fina,Pop,EU,49,13,10,2021,2021-10-13,False
Fay,Vantablack,Rock,US,170,21,8,2022,2022-08-21,False
Eli,Grův,Pop,EU,73,29,6,2021,2021-06-29,True
Cy,Blue Ember,Jazz,US,239,17,3,2023,2023-03-17,True
Cy,Grův,Pop,EU,61,26,7,2021,2021-07-26,False
Gus,Grův,Pop,EU,71,13,12,2022,2022-12-13,False
Ben,Riftwave,Rock,US,172,6,7,2023,2023-07-06,False
Eli,Riftwave,Rock,US,190,28,1,2022,2022-01-28,True
Eli,Vantablack,Rock,US,31,2,6,2021,2021-06-02,False
Gus,Nova,Pop,EU,134,7,1,2021,2021-01-07,False
Fay,Blue Ember,Jazz,US,83,30,1,2022,2022-01-30,False
Dee,Marisol,Classical,UK,147,7,5,2021,2021-05-07,False
Cy,Grův,Pop,UK,134,24,8,2023,2023-08-24,False
Cy,Grův,Pop,EU,237,2,12,2023,2023-12-02,False
Dee,Riftwave,Rock,UK,225,10,12,2023,2023-12-10,False
Ben,The Larks,Jazz,UK,157,7,10,2023,2023-10-07,True
Fay,Nova,Pop,JP,164,5,10,2022,2022-10-05,True
Ben,Echo Park,HipHop,US,216,22,12,2021,2021-12-22,False
Fay,The Larks,Jazz,EU,45,4,5,2022,2022-05-04,False
Gus,The Larks,Jazz,US,175,11,10,2021,2021-10-11,True
Hana,Blue Ember,Jazz,UK,186,10,7,2023,2023-07-10,True
Ada,The Larks,Jazz,EU,31,23,4,2022,2022-04-23,False
Gus,Riftwave,Rock,EU,212,26,2,2022,2022-02-26,False
Ada,Vantablack,Rock,EU,168,26,1,2023,2023-01-26,False
Cy,Marisol,Classical,US,84,14,2,2022,2022-02-14,False
Ben,K.Low,HipHop,UK,117,26,1,2022,2022-01-26,False
Ben,Nova,Pop,US,118,6,9,2021,2021-09-06,False
Ben,Echo Park,HipHop,UK,221,15,3,2021,2021-03-15,True
Ada,K.Low,HipHop,UK,233,11,2,2021,2021-02-11,True
Gus,Sol Fina,Pop,US,194,18,3,2022,2022-03-18,False
Ada,Marisol,Classical,US,157,26,12,2023,2023-12-26,True
Dee,K.Low,HipHop,US,25,13,10,2021,2021-10-13,False
Fay,The Larks,Jazz,US,220,3,12,2022,2022-12-03,False
Hana,Nova,Pop,US,33,22,12,2021,2021-12-22,False
Gus,Echo Park,HipHop,EU,41,28,11,2021,2021-11-28,True
Ben,Echo Park,HipHop,UK,17,28,6,2021,2021-06-28,False
Hana,K.Low,HipHop,US,228,9,9,2022,2022-09-09,True
Fay,Blue Ember,Jazz,EU,119,23,12,2022,2022-12-23,False
Ben,Nova,Pop,EU,57,19,1,2022,2022-01-19,True
Dee,Grův,Pop,US,20,31,7,2022,2022-07-31,False
Hana,Grův,Pop,US,99,6,6,2022,2022-06-06,False
Dee,Blue Ember,Jazz,US,174,24,10,2021,2021-10-24,True
Ben,Nova,Pop,US,239,28,1,2023,2023-01-28,True
Hana,Riftwave,Rock,EU,133,30,8,2022,2022-08-30,False
Hana,Nova,Pop,JP,146,14,3,2021,2021-03-14,True
Hana,The Larks,Jazz,US,201,24,6,2022,2022-06-24,True
Hana,The Larks,Jazz,EU,217,3,3,2022,2022-03-03,False
Gus,Riftwave,Rock,US,68,22,5,2023,2023-05-22,False
Dee,Echo Park,HipHop,UK,239,2,12,2021,2021-12-02,False
Ben,Riftwave,Rock,EU,125,13,11,2023,2023-11-13,True
Eli,K.Low,HipHop,US,224,5,11,2022,2022-11-05,False
Ben,Vantablack,Rock,US,29,24,5,2021,2021-05-24,False
Dee,Echo Park,HipHop,UK,24,18,3,2022,2022-03-18,False
Fay,The Larks,Jazz,JP,213,26,8,2023,2023-08-26,True
Hana,Nova,Pop,US,162,6,10,2021,2021-10-06,True
Cy,Riftwave,Rock,US,43,11,2,2023,2023-02-11,True
Cy,Blue Ember,Jazz,US,215,8,5,2023,2023-05-08,False
Fay,K.Low,HipHop,UK,25,29,1,2023,2023-01-29,True
Ada,Grův,Pop,UK,164,9,4,2021,2021-04-09,False
Eli,Echo Park,HipHop,EU,50,14,2,2022,2022-02-14,True
Fay,K.Low,HipHop,EU,17,17,1,2022,2022-01-17,True
Eli,Grův,Pop,EU,194,12,1,2022,2022-01-12,True
