station,city,region,temp,humidity,day,month,year,date,rained
WX02,Seattle,West,27,28,8,2,2023,2023-02-08,False
WX02,Seattle,West,32,49,1,11,2023,2023-11-01,False
WX02,Seattle,West,25,73,26,12,2022,2022-12-26,True
WX05,Boston,East,30,76,16,12,2022,2022-12-16,True
WX06,Newark,East,88,36,12,5,2022,2022-05-12,False
WX07,Chicago,North,89,25,30,7,2023,2023-07-30,False
WX04,Miami,South,85,97,19,8,2022,2022-08-19,True
WX08,Fargo,North,85,67,23,5,2022,2022-05-23,False
WX03,Austin,South,68,99,27,9,2022,2022-09-27,False
WX02,Seattle,West,27,37,17,3,2023,2023-03-17,False
WX01,Denver,West,92,20,17,7,2022,2022-07-17,True
WX02,Seattle,West,81,44,19,9,2022,2022-09-19,True
WX04,Miami,South,88,39,29,8,2022,2022-08-29,False
WX04,Miami,South,37,75,12,3,2023,2023-03-12,True
WX07,Chicago,North,74,75,6,6,2023,2023-06-06,True
WX02,Seattle,West,72,16,9,5,2023,2023-05-09,True
WX03,Austin,South,65,63,14,4,2022,2022-04-14,True
WX08,Fargo,North,63,41,11,9,2022,2022-09-11,False
WX01,Denver,West,53,65,19,4,2023,2023-04-19,True
WX04,Miami,South,82,45,7,6,2022,2022-06-07,False
WX02,Seattle,West,19,58,20,2,2022,2022-02-20,True
WX05,Boston,East,87,75,23,8,2022,2022-08-23,False
WX08,Fargo,North,76,36,11,5,2023,2023-05-11,False
WX02,Seattle,West,58,28,30,4,2023,2023-04-30,False
WX03,Austin,South,47,74,5,4,2022,2022-04-05,False
WX04,Miami,South,59,96,10,5,2023,2023-05-10,False
WX07,Chicago,North,75,50,22,5,2022,2022-05-22,True
WX08,Fargo,North,81,100,26,6,2023,2023-06-26,False
WX01,Denver,West,39,26,18,2,2023,2023-02-18,False
WX04,Miami,South,70,84,3,4,2022,2022-04-03,True
WX07,Chicago,North,88,99,13,9,2022,2022-09-13,False
WX01,Denver,West,78,37,21,8,2023,2023-08-21,True
WX07,Chicago,North,42,23,12,11,2022,2022-11-12,False
WX02,Seattle,West,79,70,18,5,2023,2023-05-18,False
WX05,Boston,East,96,89,1,7,2023,2023-07-01,False
WX08,Fargo,North,17,17,23,1,2022,2022-01-23,False
WX06,Newark,East,48,68,11,11,2023,2023-11-11,False
WX08,Fargo,North,73,89,2,9,2022,2022-09-02,False
WX05,Boston,East,86,12,3,8,2023,2023-08-03,False
WX02,Seattle,West,12,56,7,12,2022,2022-12-07,False
WX06,Newark,East,30,17,26,2,2023,2023-02-26,False
WX05,Boston,East,70,26,21,9,2022,2022-09-21,False
WX03,Austin,South,76,54,15,9,2023,2023-09-15,False
WX01,Denver,West,39,39,27,3,2022,2022-03-27,True
WX06,Newark,East,56,17,17,10,2023,2023-10-17,False
WX05,Boston,East,85,82,1,6,2022,2022-06-01,False
WX07,Chicago,North,61,28,7,10,2023,2023-10-07,False
WX02,Seattle,West,18,89,18,1,2022,2022-01-18,False
WX05,Boston,East,8,26,11,1,2022,2022-01-11,False
WX07,Chicago,North,42,57,9,3,2022,2022-03-09,False
WX08,Fargo,North,18,76,4,2,2023,2023-02-04,False
WX08,Fargo,North,79,53,14,7,2022,2022-07-14,True
WX02,Seattle,West,29,47,13,3,2023,2023-03-13,False
WX02,Seattle,West,88,78,22,8,2023,2023-08-22,False
WX05,Boston,East,19,11,20,1,2022,2022-01-20,False
WX04,Miami,South,3,85,20,1,2023,2023-01-20,False
WX02,Seattle,West,82,72,24,6,2023,2023-06-24,True
WX01,Denver,West,47,79,6,11,2022,2022-11-06,False
WX02,Seattle,West,34,48,7,11,2023,2023-11-07,False
WX03,Austin,South,54,44,29,4,2023,2023-04-29,False
WX06,Newark,East,28,62,26,1,2022,2022-01-26,False
WX01,Denver,West,26,68,31,1,2023,2023-01-31,False
WX01,Denver,West,63,94,8,10,2022,2022-10-08,False
WX03,Austin,South,33,88,7,4,2022,2022-04-07,True
WX07,Chicago,North,51,14,25,11,2023,2023-11-25,True
WX08,Fargo,North,90,23,12,6,2022,2022-06-12,False
WX04,Miami,South,57,96,2,3,2022,2022-03-02,True
WX01,Denver,West,79,45,12,6,2022,2022-06-12,True
WX01,Denver,West,71,62,24,8,2023,2023-08-24,True
WX07,Chicago,North,38,15,14,3,2023,2023-03-14,False
WX04,Miami,South,83,19,22,8,2023,2023-08-22,False
WX01,Denver,West,30,47,3,12,2022,2022-12-03,True
WX07,Chicago,North,46,75,27,3,2022,2022-03-27,True
WX05,Boston,East,54,80,10,10,2022,2022-10-10,False
WX03,Austin,South,71,91,26,5,2022,2022-05-26,False
WX04,Miami,South,29,27,11,2,2023,2023-02-11,True
WX02,Seattle,West,88,28,16,7,2022,2022-07-16,False
WX08,Fargo,North,22,59,10,12,2023,2023-12-10,True
WX07,Chicago,North,63,59,3,10,2022,2022-10-03,False
WX02,Seattle,West,95,13,18,8,2022,2022-08-18,True
WX06,Newark,East,33,50,20,12,2023,2023-12-20,False
WX02,Seattle,West,19,91,15,1,2023,2023-01-15,True
WX04,Miami,South,55,24,5,5,2022,2022-05-05,False
WX06,Newark,East,24,84,17,12,2022,2022-12-17,True
WX01,Denver,West,84,50,5,7,2022,2022-07-05,False
WX06,Newark,East,84,57,8,6,2023,2023-06-08,False
WX02,Seattle,West,19,68,23,2,2023,2023-02-23,True
WX06,Newark,East,85,74,18,6,2023,2023-06-18,False
WX04,Miami,South,29,68,18,11,2023,2023-11-18,False
WX01,Denver,West,75,19,17,6,2023,2023-06-17,True
WX07,Chicago,North,82,36,6,9,2022,2022-09-06,True
WX03,Austin,South,65,86,28,5,2022,2022-05-28,False
WX08,Fargo,North,20,13,22,1,2023,2023-01-22,True
WX07,Chicago,North,45,75,24,11,2022,2022-11-24,False
WX02,Seattle,West,93,57,17,8,2022,2022-08-17,False
WX05,Boston,East,92,20,16,8,2023,2023-08-16,False
WX03,Austin,South,57,21,26,10,2023,2023-10-26,False
WX05,Boston,East,61,99,6,10,2022,2022-10-06,False
WX05,Boston,East,83,12,13,5,2023,2023-05-13,False
WX03,Austin,South,28,12,20,12,2023,2023-12-20,False
WX06,Newark,East,5,11,9,1,2022,2022-01-09,False
WX03,Austin,South,68,67,24,9,2022,2022-09-24,True
WX08,Fargo,North,91,94,23,6,2023,2023-06-23,False
WX08,Fargo,North,20,25,30,12,2022,2022-12-30,False
WX02,Seattle,West,98,82,2,8,2023,2023-08-02,False
WX06,Newark,East,24,75,13,12,2022,2022-12-13,False
WX08,Fargo,North,25,30,17,2,2022,2022-02-17,False
WX02,Seattle,West,46,16,13,11,2022,2022-11-13,False
WX06,Newark,East,54,54,23,10,2022,2022-10-23,False
WX08,Fargo,North,74,17,10,9,2023,2023-09-10,True
WX02,Seattle,West,62,20,18,4,2022,2022-04-18,False
WX05,Boston,East,43,52,24,4,2022,2022-04-24,True
WX07,Chicago,North,53,84,14,4,2022,2022-04-14,False
WX03,Austin,South,31,100,19,2,2023,2023-02-19,False
WX02,Seattle,West,25,67,28,12,2023,2023-12-28,False
WX04,Miami,South,49,35,28,3,2023,2023-03-28,False
WX03,Austin,South,73,39,19,8,2023,2023-08-19,False
WX06,Newark,East,59,65,14,9,2023,2023-09-14,False
WX03,Austin,South,44,25,15,3,2023,2023-03-15,False
WX04,Miami,South,44,57,21,3,2023,2023-03-21,False
WX08,Fargo,North,84,79,27,6,2022,2022-06-27,False
WX05,Boston,East,28,86,2,12,2023,2023-12-02,True
WX08,Fargo,North,96,15,30,7,2023,2023-07-30,True
WX06,Newark,East,66,36,29,9,2023,2023-09-29,True
WX08,Fargo,North,19,33,20,12,2023,2023-12-20,False
WX02,Seattle,West,74,60,12,9,2022,2022-09-12,True
WX08,Fargo,North,62,26,15,4,2022,2022-04-15,False
WX08,Fargo,North,63,96,20,9,2023,2023-09-20,False
WX01,Denver,West,23,93,12,12,2022,2022-12-12,False
WX03,Austin,South,23,40,1,12,2023,2023-12-01,False
WX04,Miami,South,76,47,22,5,2023,2023-05-22,False
WX04,Miami,South,90,49,7,7,2022,2022-07-07,False
WX07,Chicago,North,68,13,17,9,2022,2022-09-17,False
WX06,Newark,East,47,90,22,3,2023,2023-03-22,True
WX02,Seattle,West,51,80,15,10,2022,2022-10-15,False
WX05,Boston,East,88,40,25,7,2022,2022-07-25,True
WX08,Fargo,North,73,59,3,6,2022,2022-06-03,True
WX04,Miami,South,49,44,20,4,2023,2023-04-20,False
WX08,Fargo,North,24,30,26,1,2022,2022-01-26,False
WX06,Newark,East,40,37,10,3,2022,2022-03-10,False
WX08,Fargo,North,29,19,1,2,2022,2022-02-01,True
WX08,Fargo,North,90,83,20,6,2023,2023-06-20,False
WX01,Denver,West,37,69,22,1,2022,2022-01-22,True
WX07,Chicago,North,32,94,3,11,2022,2022-11-03,True
WX02,Seattle,West,25,10,30,3,2022,2022-03-30,False
WX07,Chicago,North,29,67,5,3,2023,2023-03-05,False
WX07,Chicago,North,14,60,26,1,2022,2022-01-26,False
WX03,Austin,South,12,66,19,1,2022,2022-01-19,True
WX01,Denver,West,56,100,28,10,2022,2022-10-28,True
WX04,Miami,South,83,45,23,5,2023,2023-05-23,True
WX03,Austin,South,50,22,22,3,2022,2022-03-22,False
WX05,Boston,East,29,11,29,12,2022,2022-12-29,False
WX01,Denver,West,102,54,15,8,2023,2023-08-15,False
WX01,Denver,West,52,25,2,4,2023,2023-04-02,False
WX04,Miami,South,77,22,2,7,2023,2023-07-02,False
WX07,Chicago,North,94,23,19,8,2022,2022-08-19,True
WX03,Austin,South,23,35,19,11,2023,2023-11-19,True
WX03,Austin,South,49,20,17,4,2022,2022-04-17,False
WX02,Seattle,West,42,54,18,3,2023,2023-03-18,True
WX03,Austin,South,37,69,14,11,2022,2022-11-14,False
WX03,Austin,South,18,36,24,1,2022,2022-01-24,False
WX03,Austin,South,28,22,21,11,2023,2023-11-21,False
WX03,Austin,South,72,62,28,5,2023,2023-05-28,False
WX03,Austin,South,93,17,16,6,2022,2022-06-16,False
WX06,Newark,East,25,77,8,2,2022,2022-02-08,True
WX03,Austin,South,66,44,9,5,2023,2023-05-09,False
WX07,Chicago,North,15,47,2,2,2023,2023-02-02,False
WX05,Boston,East,18,32,6,2,2022,2022-02-06,True
WX06,Newark,East,28,35,21,12,2023,2023-12-21,True
WX05,Boston,East,88,23,9,6,2023,2023-06-09,True
WX08,Fargo,North,18,60,4,12,2022,2022-12-04,True
WX03,Austin,South,68,23,24,6,2022,2022-06-24,True
WX08,Fargo,North,93,71,17,7,2022,2022-07-17,True
WX02,Seattle,West,30,33,26,11,2022,2022-11-26,False
WX02,Seattle,West,30,61,11,2,2022,2022-02-11,False
WX07,Chicago,North,66,58,26,9,2022,2022-09-26,False
WX08,Fargo,North,77,67,8,6,2022,2022-06-08,False
WX01,Denver,West,39,78,24,3,2022,2022-03-24,False
WX05,Boston,East,74,61,2,4,2022,2022-04-02,False
WX05,Boston,East,78,87,10,9,2022,2022-09-10,False
WX02,Seattle,West,56,33,7,10,2022,2022-10-07,False
WX05,Boston,East,75,78,13,9,2022,2022-09-13,False
WX06,Newark,East,58,41,19,5,2023,2023-05-19,False
WX05,Boston,East,11,67,17,1,2023,2023-01-17,False
WX05,Boston,East,52,54,21,5,2022,2022-05-21,True
WX08,Fargo,North,39,92,11,12,2023,2023-12-11,True
WX02,Seattle,West,98,34,17,6,2023,2023-06-17,False
WX05,Boston,East,28,57,10,12,2022,2022-12-10,True
WX03,Austin,South,26,24,5,2,2022,2022-02-05,True
WX08,Fargo,North,43,67,30,10,2023,2023-10-30,True
WX03,Austin,South,84,13,28,6,2023,2023-06-28,False
WX07,Chicago,North,39,47,3,12,2022,2022-12-03,False
WX06,Newark,East,56,10,29,4,2022,2022-04-29,False
WX02,Seattle,West,33,39,20,3,2022,2022-03-20,True
WX07,Chicago,North,76,54,31,7,2022,2022-07-31,False
WX02,Seattle,West,96,40,18,6,2022,2022-06-18,False
WX03,Austin,South,85,45,2,6,2022,2022-06-02,False
WX03,Austin,South,41,23,25,10,2022,2022-10-25,False
WX06,Newark,East,17,75,4,2,2022,2022-02-04,True
WX04,Miami,South,75,82,26,8,2022,2022-08-26,False
WX05,Boston,East,71,51,28,9,2023,2023-09-28,True
WX05,Boston,East,74,15,25,9,2023,2023-09-25,False
WX02,Seattle,West,16,15,7,1,2022,2022-01-07,False
WX02,Seattle,West,79,71,11,5,2023,2023-05-11,False
WX03,Austin,South,25,94,25,12,2023,2023-12-25,True
WX02,Seattle,West,33,88,27,2,2023,2023-02-27,False
WX08,Fargo,North,52,46,12,10,2022,2022-10-12,False
WX04,Miami,South,49,55,25,12,2022,2022-12-25,False
WX04,Miami,South,81,24,5,6,2022,2022-06-05,True
WX06,Newark,East,48,16,18,10,2022,2022-10-18,False
WX07,Chicago,North,29,79,15,11,2023,2023-11-15,True
WX06,Newark,East,36,48,23,3,2023,2023-03-23,True
WX05,Boston,East,24,55,11,11,2022,2022-11-11,False
WX08,Fargo,North,57,41,1,4,2022,2022-04-01,False
WX08,Fargo,North,40,38,24,10,2023,2023-10-24,True
WX02,Seattle,West,56,99,29,4,2022,2022-04-29,False
WX02,Seattle,West,75,84,11,6,2023,2023-06-11,False
WX04,Miami,South,82,72,10,8,2022,2022-08-10,False
WX07,Chicago,North,95,45,23,7,2022,2022-07-23,False
WX08,Fargo,North,91,75,5,5,2022,2022-05-05,False
WX06,Newark,East,46,40,1,10,2022,2022-10-01,False
WX06,Newark,East,71,56,10,5,2023,2023-05-10,True
WX02,Seattle,West,32,23,1,11,2022,2022-11-01,True
WX05,Boston,East,13,74,19,1,2022,2022-01-19,False
WX02,Seattle,West,84,15,12,7,2022,2022-07-12,True
WX05,Boston,East,62,75,27,4,2022,2022-04-27,False
WX02,Seattle,West,51,64,21,10,2022,2022-10-21,False
WX01,Denver,West,73,16,21,10,2023,2023-10-21,True
WX08,Fargo,North,28,56,4,12,2023,2023-12-04,True
WX08,Fargo,North,17,30,30,12,2023,2023-12-30,False
WX06,Newark,East,35,53,24,3,2022,2022-03-24,False
WX06,Newark,East,18,11,22,12,2022,2022-12-22,False
WX02,Seattle,West,31,75,3,2,2022,2022-02-03,True
WX05,Boston,East,12,56,28,12,2022,2022-12-28,False
WX06,Newark,East,14,42,25,2,2023,2023-02-25,True
WX05,Boston,East,85,89,19,7,2023,2023-07-19,False
WX03,Austin,South,78,68,3,9,2022,2022-09-03,True
WX04,Miami,South,30,65,27,1,2022,2022-01-27,True
WX07,Chicago,North,49,23,28,11,2022,2022-11-28,False
WX03,Austin,South,42,55,8,11,2022,2022-11-08,True
WX08,Fargo,North,54,73,1,4,2023,2023-04-01,False
WX07,Chicago,North,44,94,14,3,2022,2022-03-14,True
WX08,Fargo,North,28,64,24,3,2023,2023-03-24,True
WX05,Boston,East,40,25,20,10,2022,2022-10-20,True
WX02,Seattle,West,89,71,24,6,2023,2023-06-24,False
WX01,Denver,West,17,16,20,12,2023,2023-12-20,False
WX05,Boston,East,85,38,16,6,2022,2022-06-16,True
WX04,Miami,South,91,93,5,7,2023,2023-07-05,False
WX01,Denver,West,57,82,4,4,2022,2022-04-04,False
WX08,Fargo,North,32,92,21,12,2023,2023-12-21,False
WX08,Fargo,North,31,42,18,12,2022,2022-12-18,False
WX03,Austin,South,87,72,29,6,2023,2023-06-29,False
WX06,Newark,East,86,73,22,7,2023,2023-07-22,False
WX04,Miami,South,38,32,20,3,2023,2023-03-20,False
WX04,Miami,South,50,95,8,10,2022,2022-10-08,False
WX05,Boston,East,88,98,5,7,2023,2023-07-05,False
WX04,Miami,South,46,20,14,12,2022,2022-12-14,True
WX07,Chicago,North,56,79,27,4,2023,2023-04-27,False
WX02,Seattle,West,41,50,24,3,2023,2023-03-24,False
WX06,Newark,East,19,71,5,12,2022,2022-12-05,False
WX08,Fargo,North,46,60,27,3,2022,2022-03-27,False
WX07,Chicago,North,91,30,2,8,2022,2022-08-02,False
WX01,Denver,West,44,18,16,11,2023,2023-11-16,False
WX01,Denver,West,22,56,15,1,2023,2023-01-15,False
WX06,Newark,East,63,86,10,4,2023,2023-04-10,False
WX08,Fargo,North,100,84,8,7,2022,2022-07-08,False
WX07,Chicago,North,75,35,31,5,2023,2023-05-31,False
WX08,Fargo,North,24,88,22,12,2022,2022-12-22,True
WX02,Seattle,West,92,42,9,6,2022,2022-06-09,False
WX05,Boston,East,48,61,17,4,2022,2022-04-17,True
WX06,Newark,East,49,39,16,10,2022,2022-10-16,False
WX05,Boston,East,24,57,17,2,2023,2023-02-17,False
WX07,Chicago,North,76,58,24,7,2022,2022-07-24,False
WX02,Seattle,West,92,73,29,6,2022,2022-06-29,True
WX04,Miami,South,82,52,16,7,2022,2022-07-16,False
WX04,Miami,South,82,58,3,8,2022,2022-08-03,True
WX08,Fargo,North,84,69,24,6,2023,2023-06-24,False
WX02,Seattle,West,25,48,31,12,2022,2022-12-31,True
WX03,Austin,South,22,57,9,12,2022,2022-12-09,False
WX01,Denver,West,54,17,29,4,2022,2022-04-29,False
WX02,Seattle,West,24,89,2,2,2023,2023-02-02,False
WX08,Fargo,North,21,21,4,12,2023,2023-12-04,False
WX07,Chicago,North,79,89,29,6,2023,2023-06-29,True
WX03,Austin,South,46,79,23,11,2022,2022-11-23,False
WX06,Newark,East,68,96,13,8,2022,2022-08-13,True
WX05,Boston,East,71,12,15,9,2022,2022-09-15,False
WX08,Fargo,North,16,29,20,1,2022,2022-01-20,False
WX03,Austin,South,23,14,22,1,2022,2022-01-22,False
WX08,Fargo,North,78,48,21,7,2023,2023-07-21,True
WX03,Austin,South,69,92,8,9,2023,2023-09-08,False
WX06,Newark,East,24,79,9,12,2023,2023-12-09,False
WX04,Miami,South,64,74,2,4,2023,2023-04-02,True
WX06,Newark,East,40,87,10,11,2023,2023-11-10,False
WX03,Austin,South,46,10,31,10,2022,2022-10-31,True
WX07,Chicago,North,86,81,5,7,2022,2022-07-05,True
WX06,Newark,East,92,38,29,6,2022,2022-06-29,False
WX03,Austin,South,76,72,22,6,2022,2022-06-22,True
WX08,Fargo,North,85,79,28,6,2023,2023-06-28,True
WX06,Newark,East,20,72,8,1,2022,2022-01-08,False
WX04,Miami,South,34,48,22,11,2023,2023-11-22,False
WX02,Seattle,West,110,65,20,7,2023,2023-07-20,True
WX08,Fargo,North,52,52,5,10,2022,2022-10-05,True
WX07,Chicago,North,76,67,28,5,2023,2023-05-28,False
WX06,Newark,East,49,51,9,4,2022,2022-04-09,False
WX07,Chicago,North,42,45,11,11,2022,2022-11-11,False
WX05,Boston,East,44,28,21,3,2022,2022-03-21,False
WX02,Seattle,West,33,45,23,3,2022,2022-03-23,False
WX02,Seattle,West,20,75,5,1,2022,2022-01-05,False
WX01,Denver,West,78,89,4,8,2023,2023-08-04,False
WX01,Denver,West,76,19,28,6,2023,2023-06-28,True
WX06,Newark,East,63,26,14,10,2023,2023-10-14,True
WX07,Chicago,North,20,56,18,12,2023,2023-12-18,True
WX02,Seattle,West,5,73,6,12,2023,2023-12-06,False
WX05,Boston,East,39,25,26,12,2023,2023-12-26,False
WX01,Denver,West,14,39,12,1,2022,2022-01-12,False
WX04,Miami,South,88,14,27,7,2023,2023-07-27,True
WX07,Chicago,North,98,14,12,6,2023,2023-06-12,False
WX07,Chicago,North,54,23,29,4,2022,2022-04-29,False
WX08,Fargo,North,54,76,10,4,2022,2022-04-10,True
WX03,Austin,South,15,89,15,12,2023,2023-12-15,False
WX08,Fargo,North,42,55,7,10,2023,2023-10-07,False
WX07,Chicago,North,84,26,28,8,2022,2022-08-28,False
WX03,Austin,South,28,93,24,2,2022,2022-02-24,False
WX03,Austin,South,75,35,1,9,2022,2022-09-01,False
WX01,Denver,West,16,24,4,1,2022,2022-01-04,True
WX08,Fargo,North,73,22,17,5,2023,2023-05-17,False
WX02,Seattle,West,40,42,5,10,2022,2022-10-05,True
WX03,Austin,South,28,76,5,2,2022,2022-02-05,False
WX04,Miami,South,26,46,17,12,2023,2023-12-17,False
WX02,Seattle,West,101,50,26,8,2023,2023-08-26,False
WX07,Chicago,North,55,40,23,10,2023,2023-10-23,False
WX06,Newark,East,17,95,30,12,2023,2023-12-30,True
WX02,Seattle,West,20,72,11,1,2022,2022-01-11,True
WX02,Seattle,West,87,70,20,7,2023,2023-07-20,False
WX01,Denver,West,93,49,29,7,2023,2023-07-29,True
WX08,Fargo,North,90,58,25,7,2023,2023-07-25,False
